2021-09-13 17:17:21 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:22 Daemon died, spawning replacement...
2021-09-13 17:17:24 Daemon died, spawning replacement...
2021-09-13 17:17:24 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:25 API died, spawning replacement...
2021-09-13 17:17:25 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:17:25 Daemon died, spawning replacement...
2021-09-13 17:17:26 Daemon died, spawning replacement...
2021-09-13 17:17:26 Daemon died, spawning replacement...
2021-09-13 17:17:27 Daemon died, spawning replacement...
2021-09-13 17:17:27 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:29 Daemon died, spawning replacement...
2021-09-13 17:17:31 Daemon died, spawning replacement...
2021-09-13 17:17:31 API died, spawning replacement...
2021-09-13 17:17:31 chartsDataCollector died, spawning replacement...
2021-09-13 17:17:31 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:17:31 Daemon died, spawning replacement...
2021-09-13 18:08:38 chartsDataCollector died, spawning replacement...
2021-09-13 18:08:38 Daemon died, spawning replacement...
2021-09-13 18:08:38 API died, spawning replacement...
2021-09-13 18:08:38 Pool fork 1 died, spawning replacement worker...
2021-09-13 18:08:38 Daemon died, spawning replacement...
2021-09-13 18:08:39 Daemon died, spawning replacement...
2021-09-13 18:08:39 Daemon died, spawning replacement...
2021-09-13 18:08:41 Daemon died, spawning replacement...
2021-09-13 18:08:41 chartsDataCollector died, spawning replacement...
2021-09-13 18:08:42 Daemon died, spawning replacement...
2021-09-13 18:08:44 API died, spawning replacement...
2021-09-13 18:08:44 Daemon died, spawning replacement...
2021-09-13 18:08:44 Pool fork 1 died, spawning replacement worker...
2021-09-13 18:08:45 chartsDataCollector died, spawning replacement...
2021-09-13 18:08:45 Daemon died, spawning replacement...
2021-09-13 18:08:45 Daemon died, spawning replacement...
2021-09-13 18:08:46 Daemon died, spawning replacement...
2021-09-13 18:08:47 Daemon died, spawning replacement...
2021-09-13 18:08:48 chartsDataCollector died, spawning replacement...
2021-09-13 18:08:49 Daemon died, spawning replacement...
2021-09-13 18:08:50 API died, spawning replacement...
2021-09-13 18:08:50 Pool fork 1 died, spawning replacement worker...
2021-09-13 18:08:51 Daemon died, spawning replacement...
2021-09-13 18:08:51 chartsDataCollector died, spawning replacement...
2021-09-13 18:08:51 Daemon died, spawning replacement...
2021-09-13 18:08:52 Daemon died, spawning replacement...
2021-09-13 18:08:52 Daemon died, spawning replacement...
2021-09-13 18:08:54 Daemon died, spawning replacement...
2021-09-13 18:08:55 chartsDataCollector died, spawning replacement...
2021-09-13 18:08:56 Daemon died, spawning replacement...
2021-09-13 18:08:56 API died, spawning replacement...
2021-09-13 18:08:57 Pool fork 1 died, spawning replacement worker...
2021-09-13 18:08:57 Daemon died, spawning replacement...
2021-09-13 18:08:57 chartsDataCollector died, spawning replacement...
2021-09-13 18:08:58 Daemon died, spawning replacement...
2021-09-13 18:08:58 Daemon died, spawning replacement...
2021-09-13 18:08:59 Daemon died, spawning replacement...
2021-09-13 18:09:01 chartsDataCollector died, spawning replacement...
2021-09-13 18:09:01 Daemon died, spawning replacement...
2021-09-13 18:09:03 API died, spawning replacement...
2021-09-13 18:09:03 Pool fork 1 died, spawning replacement worker...
2021-09-13 18:09:03 Daemon died, spawning replacement...
2021-09-13 18:09:03 Daemon died, spawning replacement...
2021-09-13 18:09:04 chartsDataCollector died, spawning replacement...
2021-09-13 18:09:04 Daemon died, spawning replacement...
2021-09-13 18:09:05 Daemon died, spawning replacement...
2021-09-13 18:09:07 Daemon died, spawning replacement...
2021-09-13 18:09:07 chartsDataCollector died, spawning replacement...
2021-09-13 18:09:08 Daemon died, spawning replacement...
2021-09-13 18:09:09 API died, spawning replacement...
2021-09-13 18:09:09 Pool fork 1 died, spawning replacement worker...
2021-09-13 18:09:09 Daemon died, spawning replacement...
2021-09-13 18:09:10 Daemon died, spawning replacement...
2021-09-13 18:09:10 chartsDataCollector died, spawning replacement...
2021-09-13 18:09:10 Daemon died, spawning replacement...
2021-09-13 18:09:12 Daemon died, spawning replacement...
2021-09-13 18:09:14 chartsDataCollector died, spawning replacement...
2021-09-13 18:09:14 Daemon died, spawning replacement...
2021-09-13 18:09:15 API died, spawning replacement...
2021-09-13 18:09:15 Pool fork 1 died, spawning replacement worker...
2021-09-13 18:09:15 Daemon died, spawning replacement...
